TA_ID,LAT,LONG,TAMBON_E
120301,13.838,100.406,Bang Muang
120302,13.868,100.381,Bang Mae Nang
120303,13.854,100.434,Bang Len
120304,13.875,100.404,Sao Thong Hin
120305,13.837,100.375,Bang Yai
120306,13.861,100.333,Ban Mai
120401,13.914,100.422,Sano Loi
120402,13.944,100.39,Bang Bua Thong
120403,13.878,100.438,Bang Rak Yai
120404,13.907,100.351,Bang Khu Rat
120405,13.964,100.401,Lahan
120406,13.97,100.416,Lam Pho
120407,13.934,100.366,Phimonrat
120408,13.894,100.41,Bang Rak Phatthana
120501,13.976,100.344,Sai Noi
120502,14.088,100.329,Rat Niyom
120503,13.906,100.322,Nong Phrao Ngai
120504,14.085,100.292,Sai Yai
120505,14.005,100.287,Khun Si
120506,14.004,100.306,Khlong Khwang
120507,13.942,100.312,Thawi Watthana
120601,13.912,100.506,Pak Kret
120602,13.896,100.521,Bang Talat
120603,13.93,100.546,Ban Mai
120604,13.927,100.516,Bang Phut
120605,13.931,100.492,Bang Tanai
120606,13.93,100.479,Khlong Phra Udom
120607,13.894,100.48,Tha It
120608,13.91,100.472,Ko Kret
120609,13.909,100.453,Om Kret
120610,13.959,100.45,Khlong Khoi
120611,13.929,100.458,Bang Phlap
120612,13.902,100.55,Khlong Kluea
130101,14.012,100.528,Bang Prok
130102,13.963,100.553,Ban Mai
130103,14.001,100.558,Ban Klang
130104,14.029,100.507,Ban Chang
130105,14.031,100.552,Ban Krachaeng
130106,13.967,100.523,Bang Khayaeng
130107,13.963,100.495,Bang Khu Wat
130108,14.007,100.509,Bang Luang
130109,13.99,100.487,Bang Duea
130110,14.035,100.572,Bang Phut
130111,13.988,100.594,Bang Phun
130112,13.983,100.537,Bang Kadi
130113,14.018,100.568,Suan Phrik Thai
130114,13.963,100.59,Lak Hok
130201,14.066,100.607,Khlong Nueng
130202,14.079,100.642,Khlong Song
130203,14.087,100.664,Khlong Sam
130204,14.097,100.687,Khlong Si
130205,14.106,100.71,Khlong Ha
130206,14.117,100.733,Khlong Hok
130207,14.125,100.75,Khlong Chet
130301,13.987,100.632,Pracha Thipat
130302,13.999,100.687,Bueng Yitho
130303,14.018,100.731,Rangsit
130304,14.036,100.779,Lam Phak Kut
130305,14.052,100.824,Bueng Sanan
130306,14.071,100.88,Bueng Nam Rak
130401,14.112,100.824,Bueng Ba
130402,14.087,100.778,Bueng Bon
130403,14.2,100.824,Bueng Ka Sam
130404,14.172,100.778,Bueng Cham O
130405,14.13,100.881,Nong Sam Wang
130406,14.244,100.928,Sala Khru
130407,14.223,100.866,Noppharat
130501,14.059,100.396,Rahaeng
130502,14.006,100.41,Lat Lum Kaeo
130503,14.047,100.467,Khu Bang Luang
130504,14.068,100.437,Khu Khwang
130505,13.99,100.449,Khlong Phra Udom
130506,14.102,100.383,Bo Ngoen
130507,14.034,100.359,Na Mai
130601,13.955,100.641,Khu Khot
130602,13.958,100.685,Lat Sawai
130603,13.961,100.731,Bueng Kham Phoi
130604,13.972,100.774,Lam Luk Ka
130605,13.984,100.82,Bueng Thong Lang
130606,13.973,100.861,Lam Sai
130607,14.029,100.862,Bueng Kho Hai
130608,13.975,100.896,Phuet Udom
130701,14.062,100.504,Bang Toei
130702,14.097,100.478,Khlong Khwai
130703,14.052,100.529,Sam Khok
130704,14.043,100.544,Krachaeng
130705,14.042,100.515,Bang Pho Nuea
130706,14.057,100.574,Chiang Rak Yai
130707,14.067,100.546,Ban Pathum
130708,14.084,100.539,Ban Ngio
130709,14.105,100.567,Chiang Rak Noi
130710,14.103,100.538,Bang Krabue
130711,14.105,100.496,Thai Ko
140101,14.349,100.551,Pratu Chai
140102,14.341,100.581,Kamang
140103,14.354,100.578,Ho Rattana Chai
140104,14.368,100.578,Hua Ro
140105,14.361,100.552,Tha Wasukri
140106,14.356,100.589,Phai Ling
140107,14.31,100.532,Pak Kran
140108,14.365,100.542,Phu Khao Thong
140109,14.34,100.57,Samphao Lom
140110,14.391,100.558,Suan Phrik
140111,14.331,100.554,Khlong Takhian
140112,14.39,100.539,Wat Tum
140113,14.371,100.6,Han Tra
140114,14.376,100.548,Lumphli
140115,14.39,100.521,Ban Mai
140116,14.389,100.582,Ban Ko
140117,14.334,100.595,Khlong Suan Phu
140118,14.371,100.563,Khlong Sa Bua
140119,14.318,100.579,Ko Rian
140120,14.347,100.529,Ban Pom
140121,14.312,100.559,Ban Run
140201,14.566,100.719,Tha Ruea
140202,14.55,100.741,Champa
140203,14.548,100.764,Tha Luang
140204,14.567,100.698,Ban Rom
140205,14.532,100.7,Sala Loi
140206,14.541,100.67,Wang Daeng
140207,14.519,100.676,Pho En
140208,14.504,100.692,Pak Tha
140209,14.512,100.732,Nong Khanak
140210,14.543,100.717,Tha Chao Sanuk
140301,14.469,100.622,Nakhon Luang
140302,14.511,100.652,Tha Chang
140303,14.406,100.603,Bo Phong
140304,14.458,100.655,Ban Chung
140305,14.44,100.62,Pak Chan
140306,14.466,100.589,Bang Rakam
140307,14.483,100.613,Bang Phrakhru
140308,14.503,100.619,Mae La
140309,14.423,100.64,Nong Pling
140310,14.424,100.604,Khlong Sakae
140311,14.489,100.675,Sam Thai
140312,14.485,100.65,Phra Non
140401,14.191,100.48,Bang Sai
140402,14.212,100.465,Bang Phli
140403,14.213,100.522,Sanam Chai
140404,14.232,100.507,Ban Paeng
140405,14.315,100.462,Na Mai
140406,14.299,100.445,Bang Yitho
140407,14.305,100.472,Khae Ok
140408,14.287,100.48,Khae Tok
140409,14.278,100.453,Chang Lek
140410,14.279,100.505,Krachaeng
140411,14.309,100.499,Ban Klueng
140412,14.252,100.505,Chang Noi
140413,14.259,100.474,Ho Mok
140414,14.222,100.432,Phai Phra
140415,14.188,100.435,Kok Kaeo Burapha
140416,14.164,100.473,Mai Tra
140417,14.141,100.49,Ban Ma
140418,14.236,100.46,Ban Ko
140419,14.186,100.519,Ratchakhram
140420,14.161,100.522,Chang Yai
140422,14.134,100.561,Chiang Rak Noi
140423,14.123,100.492,Khok Chang
140501,14.41,100.464,Bang Ban
140502,14.39,100.497,Wat Yom
140503,14.407,100.486,Sai Noi
140504,14.363,100.486,Saphan Thai
140505,14.364,100.505,Mahaphram
140506,14.347,100.485,Kop Chao
140507,14.347,100.457,Ban Khlang
140508,14.328,100.482,Phra Khao
140509,14.339,100.438,Namtao
140510,14.375,100.432,Thang Chang
140511,14.388,100.424,Wat Taku
140512,14.403,100.433,Bang Luang
140513,14.419,100.43,Bang Luang Dot
140514,14.436,100.439,Bang Hak
140515,14.429,100.461,Bang Chani
140516,14.436,100.492,Ban Kum
140601,14.241,100.598,Ban Len
140602,14.16,100.594,Chiang Rak Noi
140603,14.272,100.588,Ban Pho
140604,14.307,100.604,Ban Krot
140605,14.189,100.565,Bang Krasan
140606,14.214,100.597,Khlong Chik
140607,14.258,100.616,Ban Wa
140608,14.26,100.568,Wat Yom
140609,14.288,100.544,Bang Pradaeng
140610,14.292,100.647,Sam Ruean
140611,14.206,100.539,Ko Koet
140612,14.223,100.552,Ban Phlap
140613,14.239,100.557,Ban Paeng
140614,14.295,100.621,Khung Lan
140615,14.25,100.642,Taling Chan
140616,14.289,100.668,Ban Sang
140618,14.266,100.542,Khanon Luang
